Drug Name,Active Ingredient,Form; Route,Date,URL
adderall xr 5,amphetamine aspartate; amphetamine sulfate; dextroamphetamine saccharate; dextroamphetamine sulfate,"CAPSULE, EXTENDED RELEASE;ORAL",07/03/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021303s034lbl.pdf#page=24
addyi,flibanserin,TABLET;ORAL,09/29/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022526s009lbl.pdf#page=23
adempas,riociguat,TABLET;ORAL,09/10/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/204819s015lbl.pdf#page=24
adhansia xr,methylphenidate hydrochloride,"CAPSULE, EXTENDED RELEASE;ORAL",06/28/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/212038s002lbl.pdf#page=25
adlyxin,lixisenatide,SOLUTION;SUBCUTANEOUS,09/28/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208471s007lbl.pdf#page=24
aduhelm,aducanumab-avwa,INJECTABLE; INJECTION,08/30/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761178s011lbl.pdf#page=26
adzenys er,amphetamine,"SUSPENSION, EXTENDED RELEASE;ORAL",02/25/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/204325s003lbl.pdf#page=26
adzenys xr-odt,amphetamine,"TABLET, ORALLY DISINTEGRATING, EXTENDED RELEASE;ORAL",03/12/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204326s011lbl.pdf#page=27
afrezza,insulin recombinant human,POWDER;INHALATION,02/03/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022472s023lbl.pdf#page=19
alkindi sprinkle,hydrocortisone,GRANULE;ORAL,06/05/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/213876s002lbl.pdf#page=14
alvaiz,eltrombopag choline,TABLET;ORAL,11/29/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216774s000lbl.pdf#page=30
ambien,zolpidem tartrate,TABLET;ORAL,02/23/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/019908s40s044s047lbl.pdf#page=24
ambien cr,zolpidem tartrate,"TABLET, EXTENDED RELEASE;ORAL",02/23/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021774s021s025s028lbl.pdf#page=27
amjevita,adalimumab-atto,INJECTABLE;INJECTION,08/14/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761024s015lbl.pdf#page=50
ampyra,dalfampridine,"TABLET, EXTENDED RELEASE;ORAL",11/18/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022250s019lbl.pdf#page=13
anafranil,clomipramine hydrochloride,CAPSULE;ORAL,05/10/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/019906s043lbl.pdf#page=27
anaprox,naproxen sodium,TABLET;ORAL,11/21/2024,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/017581s117,018164s067,020067s026lbl.pdf"
anaprox ds,naproxen sodium,TABLET;ORAL,05/13/2024,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/017581s115,018164s065,020067s024lbl.pdf#page=23"
androgel,testosterone,"GEL, METERED;TRANSDERMAL",05/30/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022309s020lbl.pdf#page=25
androgel,testosterone,GEL;TRANSDERMAL,05/30/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022309s020lbl.pdf#page=25
androgel,testosterone,GEL;TRANSDERMAL,05/30/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021015s045lbl.pdf#page=23
androgel,testosterone,"GEL, METERED;TRANSDERMAL",05/30/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021015s045lbl.pdf#page=23
ansaid,flurbiprofen,TABLET;ORAL,05/09/2016,http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/018766s015MedGuide.pdf
apadaz,acetaminophen; benzhydrocodone hydrochloride,TABLET;ORAL,12/15/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208653s008lbl.pdf#page=40
aplenzin,bupropion hydrobromide,"TABLET, EXTENDED RELEASE;ORAL",05/07/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022108s022lbl.pdf#page=29
aptensio xr,methylphenidate hydrochloride,"CAPSULE, EXTENDED RELEASE;ORAL",10/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205831s008lbl.pdf#page=19
aptiom,eslicarbazepine acetate,TABLET;ORAL,03/15/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022416s011lbl.pdf#page=25
aptryxol,desvenlafaxine,"TABLET,EXTENDED RELEASE;ORAL",08/18/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205583s014lbl.pdf#page=30
aranesp,darbepoetin alfa,VIAL; INTRAVENOUS,01/30/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/103951s5377lbl.pdf#page=25
aranesp,darbepoetin alfa,VIAL; SUBCUTANEOUS,01/30/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/103951s5377lbl.pdf#page=25
arcapta neohaler,indacaterol maleate,POWDER;INHALATION,07/30/2021,http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/022383s000MedG.pdf
arikayce kit,amikacin sulfate,"SUSPENSION, LIPOSOMAL;INHALATION",02/10/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/207356s004lbl.pdf#page=15
aristada,aripiprazole lauroxil,"SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR",03/30/2021,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/207533s017,209830s005lbl.pdf#page=36"
aristada initio kit,aripiprazole lauroxil,"SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR",03/30/2021,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/207533s017,209830s005lbl.pdf#page=72"
arthrotec,diclofenac sodium; misoprostol,"TABLET, DELAYED RELEASE;ORAL",11/21/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/020607s043lbl.pdf#page=33
arymo er,morphine sulfate,"TABLET, EXTENDED RELEASE;ORAL",10/07/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/208603s005lbl.pdf#page=34
astagraf xl,tacrolimus,"CAPSULE, EXTENDED RELEASE;ORAL",11/22/2022,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050708s054,050709s047,204096s010lbl.pdf#page=91"
astagraf xl,tacrolimus,"CAPSULE, EXTENDED RELEASE;ORAL",09/14/2023,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050708s054,050709s047,204096s010lbl.pdf#page=91"
astagraf xl,tacrolimus,"CAPSULE, EXTENDED RELEASE;ORAL",09/14/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/210115s006lbl.pdf#page=33
astagraf xl,tacrolimus,"CAPSULE, EXTENDED RELEASE;ORAL",09/14/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204096s011lbl.pdf#page=33
atelvia,risedronate sodium,"TABLET, DELAYED RELEASE;ORAL",08/18/2020,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022560s011lbl.pdf#page=24
ativan,lorazepam,TABLET;ORAL,01/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/017794s049lbl.pdf#page=14
aubagio,teriflunomide,TABLET;ORAL,06/10/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/202992s013s015lbl.pdf#page=25
austedo,deutetrabenazine,TABLET;ORAL,05/29/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216354s000lbl.pdf#page=29
austedo,deutetrabenazine,TABLET;ORAL,11/26/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/208082s016s017lbl.pdf#page=29
auvelity,bupropion; dextromethorphan,"TABLET, EXTENDED RELEASE; ORAL",05/07/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/215430s000lblCorrect3.pdf#page=25
avandamet,metformin hydrochloride; rosiglitazone maleate,TABLET;ORAL,04/05/2017,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021410s040lbl.pdf#page=38
avandaryl,glimepiride; rosiglitazone maleate,TABLET;ORAL,04/27/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217006s000lbl.pdf#page=39
avandia,rosiglitazone maleate,TABLET;ORAL,02/05/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021071s052lbl.pdf#page=38
aveed,testosterone undecanoate,INJECTABLE;INTRAMUSCULAR,08/16/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022219s014lbl.pdf#page=23
avelox,moxifloxacin hydrochloride,TABLET;ORAL,05/06/2020,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021085s066,021277s062lbl.pdf#page=33"
avelox in sodium chloride 0.8% in plastic container,moxifloxacin hydrochloride,SOLUTION;INTRAVENOUS,05/06/2020,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021085s066,021277s062lbl.pdf#page=33"
avinza,morphine sulfate,"CAPSULE, EXTENDED RELEASE;ORAL",06/26/2015,http://www.fda.gov/downloads/Drugs/DrugSafety/UCM311346.pdf
avonex,interferon beta-1a,VIAL,07/28/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103628s5269lbl.pdf#page=22
avsola,infliximab-axxq,INJECTABLE;INJECTION,09/09/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761086s000lbl.pdf#page=48
axiron,testosterone,"SOLUTION, METERED;TRANSDERMAL",07/13/2017,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/022504s016lbl.pdf#page=15
azstarys,dexmethylphenidate hydrochloride; serdexmethylphenidate chloride,CAPSULE;ORAL,10/13/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/212994s000lbl.pdf#page=26
banzel,rufinamide,SUSPENSION;ORAL,05/30/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/201367Orig1s011lbl.pdf#page=19
banzel,rufinamide,TABLET;ORAL,11/28/2019,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021911s017,201367s008lbl.pdf#page=19"
bavencio,avelumab,INJECTABLE;INJECTION,11/26/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761049s020lbl.pdf#page=36
bavencio,avelumab,INJECTABLE;INTRAVENOUS,05/09/2017,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/761078s000lbl.pdf#page=23
baxdela,delafloxacin meglumine,TABLET;ORAL,06/19/2017,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/208610s007,208611s006lbl.pdf#page=28"
baxdela,delafloxacin meglumine,POWDER;INTRAVENOUS,12/01/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208611s007lbl.pdf#page=28
belbuca,buprenorphine hydrochloride,FILM;BUCCAL,12/15/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/207932s023lbl.pdf#page=40
belsomra,suvorexant,TABLET;ORAL,03/25/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/204569s008lbl.pdf#page=23
benlysta,belimumab,INJECTABLE;INJECTION,05/16/2024,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125370s079,761043s022lbl.pdf#page=41"
benlysta,belimumab,INJECTABLE; INJECTION,05/16/2024,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125370s079,761043s022lbl.pdf#page=41"
besremi,ropeginterferon alfa-2b-njft,INJECTABLE;SUBCUTANEOUS,04/29/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/761166s000lbl.pdf#page=18
betaseron,interferon beta-1b,VIAL; SUBCUTANEOUS,07/28/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103471s5202lbl.pdf#page=19
bevyxxa,betrixaban,CAPSULE;ORAL,08/24/2020,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208383s000lbl.pdf#page=20
bimzelx,bimekizumab-bkzx,INJECTABLE; SUBCUTANEOUS,09/20/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761151s005s006s007lbl.pdf#page=29
binosto,alendronate sodium,"TABLET, EFFERVESCENT;ORAL",10/13/2020,https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/202344s008lbl.pdf#page=33
blenrep,belantamab mafodotin-blmf,INJECTABLE;INTRAVENOUS,02/28/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761158s006lbl.pdf#page=22
blincyto,blinatumomab,INJECTABLE;INJECTION,06/14/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125557s023s026lbl.pdf#page=41
boniva,ibandronate sodium,INJECTABLE;INTRAVENOUS,01/11/2022,http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/021858s022lbl.pdf#page=18
boniva,ibandronate sodium,TABLET;ORAL,12/07/2016,http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/021455s021lbl.pdf#page=19
bonsity,teriparatide,SOLUTION;SUBCUTANEOUS,11/16/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/211939s004lbl.pdf#page=23
botox,onabotulinumtoxina,VIAL; SINGLE-USE,08/10/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103000s5327lbl.pdf#page=49
botox cosmetic,onabotulinumtoxina,VIAL; SINGLE-USE,08/10/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103000s5327lbl.pdf#page=49
braftovi,encorafenib,CAPSULE;ORAL,09/12/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/210496s016lbl.pdf#page=31
brenzavvy,bexagliflozin,TABLET;ORAL,09/12/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/214373s001lbl.pdf#page=22
brexafemme,ibrexafungerp,TABLET;ORAL,11/30/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/214900s002lbl.pdf#page=18
brilinta,ticagrelor,TABLET;ORAL,03/22/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022433s034lbl.pdf#page=35
brisdelle,paroxetine mesylate,CAPSULE;ORAL,08/18/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204516s013lbl.pdf#page=18
briumvi,ublituximab-xiiy,INJECTABLE;INJECTION,12/28/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761238s000lbl.pdf#page=18
briviact,brivaracetam,SOLUTION;INTRAVENOUS,05/17/2023,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205836s014,205837s011,205838s011lbl.pdf#page=18"
briviact,brivaracetam,SOLUTION;ORAL,05/17/2023,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205836s014,205837s011,205838s011lbl.pdf#page=18"
briviact,brivaracetam,TABLET;ORAL,05/17/2023,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205836s014,205837s011,205838s011lbl.pdf#page=18"
brixadi,buprenorphine,"INJECTION, EXTENDED RELEASE;SUBCUTANEOUS",05/23/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/210136s000lbl.pdf#page=52
brovana,arformoterol tartrate,SOLUTION;INHALATION,05/29/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2014/021912s013lbl.pdf#page=22
bunavail,buprenorphine hydrochloride; naloxone hydrochloride,FILM;BUCCAL,06/17/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/205637s023s024lbl.pdf#page=33
butrans,buprenorphine,"FILM, EXTENDED RELEASE;TRANSDERMAL",12/15/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021306s041lbl.pdf#page=45
bydureon,exenatide synthetic,"FOR SUSPENSION, EXTENDED RELEASE;SUBCUTANEOUS",12/21/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022200s034lbl.pdf#page=37
bydureon bcise,exenatide synthetic,"SUSPENSION, EXTENDED RELEASE;SUBCUTANEOUS",03/06/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/209210s022lbl.pdf#page=36
bydureon pen,exenatide synthetic,"FOR SUSPENSION, EXTENDED RELEASE;SUBCUTANEOUS",12/21/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022200s034lbl.pdf#page=37
byetta,exenatide synthetic,INJECTABLE;SUBCUTANEOUS,12/21/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021773s048lbl.pdf#page=33
byetta,exenatide synthetic,INJECTABLE; SUBCUTANEOUS,10/30/2009,http://www.fda.gov/downloads/Drugs/DrugSafety/UCM191084.pdf
cambia,diclofenac potassium,FOR SOLUTION;ORAL,11/21/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/022165s016lbl.pdf#page=22
camzyos,mavacamten,CAPSULE;ORAL,06/15/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/214998s001lbl.pdf#page=29
caplyta,lumateperone tosylate,CAPSULE;ORAL,06/28/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/209500s011lbl.pdf#page=22
caprelsa,vandetanib,TABLET;ORAL,03/28/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022405s019lbl.pdf#page=20
carbatrol,carbamazepine,"CAPSULE, EXTENDED RELEASE;ORAL",04/11/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020712s038lbl.pdf#page=23
cassipa,buprenorphine hydrochloride; naloxone hydrochloride,FILM;SUBLINGUAL,12/15/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208042s011lbl.pdf#page=30
cataflam,diclofenac potassium,TABLET;ORAL,04/28/2021,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/020142s029lbl.pdf#page=19
celebrex,celecoxib,CAPSULE;ORAL,11/21/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/020998s058lbl.pdf#page=41
celebrex,celecoxib,CAPSULE;ORAL,02/04/2011,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/020998s033,021156s003MedG.pdf"
celexa,citalopram hydrobromide,SOLUTION;ORAL,12/03/2012,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020822s042,021046s019lbl.pdf#page=32"
celexa,citalopram hydrobromide,TABLET;ORAL,08/18/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020822s054lbl.pdf#page=22
cellcept,mycophenolate mofetil,CAPSULE;ORAL,08/10/2022,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050722s050,050723s050,050758s048,050759s055lbl.pdf#page=39"
cellcept,mycophenolate mofetil,TABLET;ORAL,08/10/2022,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050722s050,050723s050,050758s048,050759s055lbl.pdf#page=39"
cellcept,mycophenolate mofetil hydrochloride,INJECTABLE;INJECTION,08/10/2022,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050722s050,050723s050,050758s048,050759s055lbl.pdf#page=39"
cellcept,mycophenolate mofetil,FOR SUSPENSION;ORAL,08/10/2022,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050722s050,050723s050,050758s048,050759s055lbl.pdf#page=39"
celontin,methsuximide,CAPSULE;ORAL,06/15/2011,http://www.fda.gov/downloads/Drugs/DrugSafety/UCM229201.pdf
cerdelga,eliglustat tartrate,CAPSULE;ORAL,08/29/2018,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/205494s003lbl.pdf#page=19
chantix,varenicline tartrate,TABLET;ORAL,02/22/2019,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021928s048lbl.pdf#page=22
chlordiazepoxide and amitriptyline hydrochloride,amitriptyline hydrochloride; chlordiazepoxide,TABLET;ORAL,02/05/2021,http://www.accessdata.fda.gov/drugsatfda_docs/label/2008/071297Orig1s026MG.pdf
cibinqo,abrocitinib,TABLET; ORAL,12/15/2023,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/213871s004lblcorrected.pdf#page=27
cimzia,certolizumab pegol,INJECTABLE; INJECTION,09/13/2024,https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125160s275lbl.pdf#page=42
cipro,ciprofloxacin hydrochloride,TABLET;ORAL,09/20/2024,"https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/019537s095,020780s050lbl.pdf#page=40"
cipro,ciprofloxacin,INJECTABLE;INJECTION,03/25/2022,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/019847s063lbl.pdf#page=33
