"Drug Name","Active Ingredient","Form; Route","Appl. No.","Company","Date","URL"
"ACCUTANE","ISOTRETINOIN","CAPSULE;ORAL","018662","HOFFMANN LA ROCHE","10/22/2010","http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/018662s061MedGuide.pdf"
"ACIPHEX","RABEPRAZOLE SODIUM","TABLET, DELAYED RELEASE;ORAL","020973","WOODWARD","07/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020973s043lbl.pdf#page=34"
"ACIPHEX SPRINKLE","RABEPRAZOLE SODIUM","CAPSULE, DELAYED RELEASE;ORAL","204736","AYTU","11/27/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/204736s012lbl.pdf#page=21"
"ACTEMRA","TOCILIZUMAB","INJECTABLE; INJECTION","125276","GENENTECH","09/20/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125276s144,125472s056lbl.pdf#page=55"
"ACTEMRA","TOCILIZUMAB","INJECTABLE;INTRAVENOUS, SUBCUTANEOUS","125472","GENENTECH","09/20/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/125276s144,125472s056lbl.pdf#page=55"
"ACTHAR GEL","CORTICOTROPIN","INJECTABLE;INJECTION","008372","MALLINCKRODT ARD","02/29/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/008372s071lbl.pdf#page=17"
"ACTIQ","FENTANYL CITRATE","TROCHE/LOZENGE;TRANSMUCOSAL","020747","CEPHALON","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/020747s062lbl.pdf#page=44"
"ACTONEL","RISEDRONATE SODIUM","TABLET;ORAL","020835","APIL","11/05/2019","http://www.accessdata.fda.gov/drugsatfda_docs/label/2019/020835s052lbl.pdf#page=38"
"ACTONEL WITH CALCIUM (COPACKAGED)","CALCIUM CARBONATE; RISEDRONATE SODIUM","TABLET;ORAL","021823","WARNER CHILCOTT","04/08/2015","http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/021823s011lbl.pdf#page=27"
"ACTOPLUS MET","METFORMIN HYDROCHLORIDE; PIOGLITAZONE HYDROCHLORIDE","TABLET;ORAL","021842","TAKEDA PHARMS USA","12/21/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021842s022lbl.pdf#page=41"
"ACTOPLUS MET XR","METFORMIN HYDROCHLORIDE; PIOGLITAZONE HYDROCHLORIDE","TABLET, EXTENDED RELEASE;ORAL","022024","TAKEDA PHARMS USA","12/21/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/022024s014lbl.pdf#page=41"
"ACTOS","PIOGLITAZONE HYDROCHLORIDE","TABLET;ORAL","021073","TAKEDA PHARMS USA","12/21/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021073s049lbl.pdf#page=35"
"ADASUVE","LOXAPINE","POWDER;INHALATION","022549","ALEXZA PHARMS","02/01/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022549s010lbl.pdf#page=28"
"ADDERALL 10","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","TABLET;ORAL","011522","TEVA WOMENS","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/011522s045lbl.pdf#page=15"
"ADDERALL 12.5","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","TABLET;ORAL","011522","TEVA WOMENS","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/011522s045lbl.pdf#page=15"
"ADDERALL 15","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","TABLET;ORAL","011522","TEVA WOMENS","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/011522s045lbl.pdf#page=15"
"ADDERALL 20","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","TABLET;ORAL","011522","TEVA WOMENS","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/011522s045lbl.pdf#page=15"
"ADDERALL 30","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","TABLET;ORAL","011522","TEVA WOMENS","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/011522s044lbl.pdf#page=15"
"ADDERALL 5","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","TABLET;ORAL","011522","TEVA WOMENS","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/011522s044lbl.pdf#page=15"
"ADDERALL 7.5","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","TABLET;ORAL","011522","TEVA WOMENS","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/011522s044lbl.pdf#page=15"
"ADDERALL XR 10","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021303s038lbl.pdf#page=22"
"ADDERALL XR 15","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021303s038lbl.pdf#page=22"
"ADDERALL XR 20","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021303s038lbl.pdf#page=22"
"ADDERALL XR 25","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/021303s038lbl.pdf#page=22"
"ADDERALL XR 30","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","07/03/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021303s034lbl.pdf#page=24"
"ADDERALL XR 5","AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE","CAPSULE, EXTENDED RELEASE;ORAL","021303","TAKEDA PHARMS USA","07/03/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021303s034lbl.pdf#page=24"
"ADDYI","FLIBANSERIN","TABLET;ORAL","022526","SPROUT PHARMS","09/29/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022526s009lbl.pdf#page=23"
"ADEMPAS","RIOCIGUAT","TABLET;ORAL","204819","BAYER HLTHCARE","09/10/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/204819s015lbl.pdf#page=24"
"ADHANSIA XR","METHYLPHENIDATE HYDROCHLORIDE","CAPSULE, EXTENDED RELEASE;ORAL","212038","PURDUE PHARMA LP","06/28/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/212038s002lbl.pdf#page=25"
"ADLYXIN","LIXISENATIDE","SOLUTION;SUBCUTANEOUS","208471","SANOFI-AVENTIS US","09/28/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208471s007lbl.pdf#page=24"
"ADUHELM","ADUCANUMAB-AVWA","INJECTABLE; INJECTION","761178","BIOGEN INC","08/30/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761178s011lbl.pdf#page=26"
"ADZENYS ER","AMPHETAMINE","SUSPENSION, EXTENDED RELEASE;ORAL","204325","NEOS THERAPS INC","02/25/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/204325s003lbl.pdf#page=26"
"ADZENYS XR-ODT","AMPHETAMINE","TABLET, ORALLY DISINTEGRATING, EXTENDED RELEASE;ORAL","204326","NEOS THERAPS","03/12/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204326s011lbl.pdf#page=27"
"AFREZZA","INSULIN RECOMBINANT HUMAN","POWDER;INHALATION","022472","MANNKIND","02/03/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/022472s023lbl.pdf#page=19"
"ALKINDI SPRINKLE","Hydrocortisone","GRANULE;ORAL","213876","ETON","06/05/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/213876s002lbl.pdf#page=14"
"ALVAIZ","ELTROMBOPAG CHOLINE","TABLET;ORAL","216677","TEVA PHARMACEUTICALS","11/29/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216774s000lbl.pdf#page=30"
"AMBIEN","ZOLPIDEM TARTRATE","TABLET;ORAL","019908","SANOFI AVENTIS US","02/23/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/019908s40s044s047lbl.pdf#page=24"
"AMBIEN CR","ZOLPIDEM TARTRATE","TABLET, EXTENDED RELEASE;ORAL","021774","SANOFI AVENTIS US","02/23/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/021774s021s025s028lbl.pdf#page=27"
"AMJEVITA","ADALIMUMAB-ATTO","INJECTABLE;INJECTION","761024","AMGEN INC","08/14/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761024s015lbl.pdf#page=50"
"AMPYRA","DALFAMPRIDINE","TABLET, EXTENDED RELEASE;ORAL","022250","ACORDA","11/18/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/022250s019lbl.pdf#page=13"
"ANAFRANIL","CLOMIPRAMINE HYDROCHLORIDE","CAPSULE;ORAL","019906","SPECGX LLC","05/10/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/019906s043lbl.pdf#page=27"
"ANAPROX","NAPROXEN SODIUM","TABLET;ORAL","018164","ATNAHS PHARMA US","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/017581s117,018164s067,020067s026lbl.pdf"
"ANAPROX DS","NAPROXEN SODIUM","TABLET;ORAL","018164","ATNAHS PHARMA US","05/13/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/017581s115,018164s065,020067s024lbl.pdf#page=23"
"ANDROGEL","TESTOSTERONE","GEL, METERED;TRANSDERMAL","022309","ABBVIE","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022309s020lbl.pdf#page=25"
"ANDROGEL","TESTOSTERONE","GEL;TRANSDERMAL","022309","ABBVIE","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022309s020lbl.pdf#page=25"
"ANDROGEL","TESTOSTERONE","GEL;TRANSDERMAL","021015","ABBVIE","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021015s045lbl.pdf#page=23"
"ANDROGEL","TESTOSTERONE","GEL, METERED;TRANSDERMAL","021015","ABBVIE","05/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021015s045lbl.pdf#page=23"
"ANSAID","FLURBIPROFEN","TABLET;ORAL","018766","PHARMACIA AND UPJOHN","05/09/2016","http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/018766s015MedGuide.pdf"
"APADAZ","ACETAMINOPHEN; BENZHYDROCODONE HYDROCHLORIDE","TABLET;ORAL","208653","KVK TECH INC","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208653s008lbl.pdf#page=40"
"APLENZIN","BUPROPION HYDROBROMIDE","TABLET, EXTENDED RELEASE;ORAL","022108","BAUSCH","05/07/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022108s022lbl.pdf#page=29"
"APTENSIO XR","METHYLPHENIDATE HYDROCHLORIDE","CAPSULE, EXTENDED RELEASE;ORAL","205831","RHODES PHARMS","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205831s008lbl.pdf#page=19"
"APTIOM","ESLICARBAZEPINE ACETATE","TABLET;ORAL","022416","SUNOVION PHARMS INC","03/15/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/022416s011lbl.pdf#page=25"
"APTRYXOL","DESVENLAFAXINE","TABLET,EXTENDED RELEASE;ORAL","205583","SUN PHARMACEUTICAL","08/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/205583s014lbl.pdf#page=30"
"ARANESP","DARBEPOETIN ALFA","VIAL; INTRAVENOUS","103951","AMGEN","01/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/103951s5377lbl.pdf#page=25"
"ARANESP","DARBEPOETIN ALFA","VIAL; SUBCUTANEOUS","103951","AMGEN","01/30/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/103951s5377lbl.pdf#page=25"
"ARCAPTA NEOHALER","INDACATEROL MALEATE","POWDER;INHALATION","022383","NOVARTIS","07/30/2021","http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/022383s000MedG.pdf"
"ARIKAYCE KIT","AMIKACIN SULFATE","SUSPENSION, LIPOSOMAL;INHALATION","207356","INSMED INC","02/10/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/207356s004lbl.pdf#page=15"
"ARISTADA","ARIPIPRAZOLE LAUROXIL","SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR","207533","ALKERMES INC","03/30/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/207533s017,209830s005lbl.pdf#page=36"
"ARISTADA INITIO KIT","ARIPIPRAZOLE LAUROXIL","SUSPENSION, EXTENDED RELEASE;INTRAMUSCULAR","209830","ALKERMES INC","03/30/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/207533s017,209830s005lbl.pdf#page=72"
"ARTHROTEC","DICLOFENAC SODIUM; MISOPROSTOL","TABLET, DELAYED RELEASE;ORAL","020607","PFIZER","11/21/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/020607s043lbl.pdf#page=33"
"ARYMO ER","MORPHINE SULFATE","TABLET, EXTENDED RELEASE;ORAL","208603","ZYLA","10/07/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/208603s005lbl.pdf#page=34"
"ASTAGRAF XL","TACROLIMUS","CAPSULE, EXTENDED RELEASE;ORAL","050709","ASTELLAS","11/22/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050708s054,050709s047,204096s010lbl.pdf#page=91"
"ASTAGRAF XL","TACROLIMUS","CAPSULE, EXTENDED RELEASE;ORAL","050708","ASTELLAS","09/14/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/050708s054,050709s047,204096s010lbl.pdf#page=91"
"ASTAGRAF XL","TACROLIMUS","CAPSULE, EXTENDED RELEASE;ORAL","210115","ASTELLAS","09/14/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/210115s006lbl.pdf#page=33"
"ASTAGRAF XL","TACROLIMUS","CAPSULE, EXTENDED RELEASE;ORAL","204096","ASTELLAS","09/14/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204096s011lbl.pdf#page=33"
"ATELVIA","RISEDRONATE SODIUM","TABLET, DELAYED RELEASE;ORAL","022560","APIL","08/18/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022560s011lbl.pdf#page=24"
"ATIVAN","LORAZEPAM","TABLET;ORAL","017794","BAUSCH","01/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/017794s049lbl.pdf#page=14"
"AUBAGIO","TERIFLUNOMIDE","TABLET;ORAL","202992","SANOFI AVENTIS US","06/10/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/202992s013s015lbl.pdf#page=25"
"AUSTEDO","DEUTETRABENAZINE","TABLET;ORAL","216354","TEVA NEUROSCIENCE","05/29/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216354s000lbl.pdf#page=29"
"AUSTEDO","DEUTETRABENAZINE","TABLET;ORAL","208082","TEVA BRANDED PHARM","11/26/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/208082s016s017lbl.pdf#page=29"
"AUVELITY","BUPROPION; DEXTROMETHORPHAN","TABLET, EXTENDED RELEASE; ORAL","215430","AXSOME INC","05/07/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/215430s000lblCorrect3.pdf#page=25"
"AVANDAMET","METFORMIN HYDROCHLORIDE; ROSIGLITAZONE MALEATE","TABLET;ORAL","021410","SB PHARMCO","04/05/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/021410s040lbl.pdf#page=38"
"AVANDARYL","GLIMEPIRIDE; ROSIGLITAZONE MALEATE","TABLET;ORAL","021700","SB PHARMCO","04/27/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/217006s000lbl.pdf#page=39"
"AVANDIA","ROSIGLITAZONE MALEATE","TABLET;ORAL","021071","WOODWARD","02/05/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021071s052lbl.pdf#page=38"
"AVEED","TESTOSTERONE UNDECANOATE","INJECTABLE;INTRAMUSCULAR","022219","ENDO PHARMS INC","08/16/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/022219s014lbl.pdf#page=23"
"AVELOX","MOXIFLOXACIN HYDROCHLORIDE","TABLET;ORAL","021085","BAYER HLTHCARE","05/06/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021085s066,021277s062lbl.pdf#page=33"
"AVELOX IN SODIUM CHLORIDE 0.8% IN PLASTIC CONTAINER","MOXIFLOXACIN HYDROCHLORIDE","SOLUTION;INTRAVENOUS","021277","BAYER HLTHCARE","05/06/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/021085s066,021277s062lbl.pdf#page=33"
"AVINZA","MORPHINE SULFATE","CAPSULE, EXTENDED RELEASE;ORAL","021260","KING PHARMS LLC","06/26/2015","http://www.fda.gov/downloads/Drugs/DrugSafety/UCM311346.pdf"
"AVONEX","INTERFERON BETA-1A","VIAL","103628","BIOGEN","07/28/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103628s5269lbl.pdf#page=22"
"AVSOLA","INFLIXIMAB-AXXQ","INJECTABLE;INJECTION","761086","AMGEN INC","09/09/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761086s000lbl.pdf#page=48"
"AXIRON","TESTOSTERONE","SOLUTION, METERED;TRANSDERMAL","022504","ELI LILLY AND CO","07/13/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/022504s016lbl.pdf#page=15"
"AZSTARYS","DEXMETHYLPHENIDATE HYDROCHLORIDE; SERDEXMETHYLPHENIDATE CHLORIDE","CAPSULE;ORAL","212994","COMMAVE THERAP","10/13/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/212994s000lbl.pdf#page=26"
"BANZEL","RUFINAMIDE","SUSPENSION;ORAL","201367","EISAI INC","05/30/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/201367Orig1s011lbl.pdf#page=19"
"BANZEL","RUFINAMIDE","TABLET;ORAL","021911","EISAI INC","11/28/2019","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/021911s017,201367s008lbl.pdf#page=19"
"BAVENCIO","AVELUMAB","INJECTABLE;INJECTION","761049","EMD SERONO INC","11/26/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761049s020lbl.pdf#page=36"
"BAVENCIO","AVELUMAB","INJECTABLE;INTRAVENOUS","761078","EMD SERONO INC","05/09/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/761078s000lbl.pdf#page=23"
"BAXDELA","DELAFLOXACIN MEGLUMINE","TABLET;ORAL","208610","MELINTA","06/19/2017","https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/208610s007,208611s006lbl.pdf#page=28"
"BAXDELA","DELAFLOXACIN MEGLUMINE","POWDER;INTRAVENOUS","208611","MELINTA","12/01/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/208611s007lbl.pdf#page=28"
"BELBUCA","BUPRENORPHINE HYDROCHLORIDE","FILM;BUCCAL","207932","BDSI","12/15/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/207932s023lbl.pdf#page=40"
"BELSOMRA","SUVOREXANT","TABLET;ORAL","204569","MERCK SHARP DOHME","03/25/2021","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/204569s008lbl.pdf#page=23"
"BENLYSTA","BELIMUMAB","INJECTABLE;INJECTION","761043","GLAXOSMITHKLINE LLC","05/16/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125370s079,761043s022lbl.pdf#page=41"
"BENLYSTA","BELIMUMAB","INJECTABLE; INJECTION","125370","HUMAN GENOME SCIENCES INC.","05/16/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125370s079,761043s022lbl.pdf#page=41"
"BESREMI","ROPEGINTERFERON ALFA-2B-NJFT","INJECTABLE;SUBCUTANEOUS","761166","PHARMAESSENTIA CORP","04/29/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/761166s000lbl.pdf#page=18"
"BETASERON","INTERFERON BETA-1B","VIAL; SUBCUTANEOUS","103471","BAYER HEALTHCARE PHARMS","07/28/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103471s5202lbl.pdf#page=19"
"BEVYXXA","BETRIXABAN","CAPSULE;ORAL","208383","PORTOLA PHARMS INC","08/24/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208383s000lbl.pdf#page=20"
"BIMZELX","BIMEKIZUMAB-BKZX","INJECTABLE; SUBCUTANEOUS","761151","UCB INC","09/20/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/761151s005s006s007lbl.pdf#page=29"
"BINOSTO","ALENDRONATE SODIUM","TABLET, EFFERVESCENT;ORAL","202344","ASCEND THERAPS US","10/13/2020","https://www.accessdata.fda.gov/drugsatfda_docs/label/2015/202344s008lbl.pdf#page=33"
"BLENREP","BELANTAMAB MAFODOTIN-BLMF","INJECTABLE;INTRAVENOUS","761158","GLAXOSMITHKLINE","02/28/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/761158s006lbl.pdf#page=22"
"BLINCYTO","BLINATUMOMAB","INJECTABLE;INJECTION","125557","AMGEN","06/14/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/125557s023s026lbl.pdf#page=41"
"BONIVA","IBANDRONATE SODIUM","INJECTABLE;INTRAVENOUS","021858","ROCHE","01/11/2022","http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/021858s022lbl.pdf#page=18"
"BONIVA","IBANDRONATE SODIUM","TABLET;ORAL","021455","HOFFMANN LA ROCHE","12/07/2016","http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/021455s021lbl.pdf#page=19"
"BONSITY","TERIPARATIDE","SOLUTION;SUBCUTANEOUS","211939","ALVOGEN","11/16/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/211939s004lbl.pdf#page=23"
"BOTOX","OnabotulinumtoxinA","VIAL; SINGLE-USE","103000","ALLERGAN","08/10/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103000s5327lbl.pdf#page=49"
"BOTOX COSMETIC","OnabotulinumtoxinA","VIAL; SINGLE-USE","103000","ALLERGAN","08/10/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/103000s5327lbl.pdf#page=49"
"BRAFTOVI","ENCORAFENIB","CAPSULE;ORAL","210496","ARRAY BIOPHARMA INC","09/12/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2024/210496s016lbl.pdf#page=31"
"BRENZAVVY","BEXAGLIFLOZIN","TABLET;ORAL","214373","THERACOS BIO","09/12/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/214373s001lbl.pdf#page=22"
"BREXAFEMME","IBREXAFUNGERP","TABLET;ORAL","214900","SCYNEXIS","11/30/2022","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/214900s002lbl.pdf#page=18"
"BRILINTA","TICAGRELOR","TABLET;ORAL","022433","ASTRAZENECA","03/22/2024","https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/022433s034lbl.pdf#page=35"
"BRISDELLE","PAROXETINE MESYLATE","CAPSULE;ORAL","204516","SEBELA IRELAND LTD","08/18/2023","https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/204516s013lbl.pdf#page=18"
